Time: 1715822819.0787451, Delay: 93.94311904907227 ms
Time: 1715822819.3990688, Delay: 94.14505958557129 ms
Time: 1715822819.704111, Delay: 79.3294906616211 ms
Time: 1715822820.0184362, Delay: 76.76124572753906 ms
Time: 1715822820.327991, Delay: 81.573486328125 ms
Time: 1715822820.6461031, Delay: 91.08781814575195 ms
Time: 1715822820.967437, Delay: 91.16792678833008 ms
Time: 1715822821.268137, Delay: 75.0432014465332 ms
Time: 1715822821.5895429, Delay: 90.93332290649414 ms
Time: 1715822821.899379, Delay: 84.77115631103516 ms
Time: 1715822822.223841, Delay: 89.0507698059082 ms
Time: 1715822822.54128, Delay: 90.11578559875488 ms
Time: 1715822822.858953, Delay: 93.01495552062988 ms
Time: 1715822823.16237, Delay: 76.27749443054199 ms
Time: 1715822823.4674501, Delay: 80.63077926635742 ms
Time: 1715822823.781943, Delay: 87.90898323059082 ms
Time: 1715822824.0978339, Delay: 89.94007110595703 ms
Time: 1715822824.407975, Delay: 77.53968238830566 ms
Time: 1715822824.7105742, Delay: 73.52709770202637 ms
Time: 1715822825.026886, Delay: 90.2564525604248 ms
Time: 1715822825.334367, Delay: 80.48868179321289 ms
Time: 1715822825.646996, Delay: 86.64798736572266 ms
Time: 1715822825.968014, Delay: 91.4764404296875 ms
Time: 1715822826.289829, Delay: 91.0038948059082 ms
Time: 1715822826.608426, Delay: 91.28546714782715 ms
Time: 1715822826.92256, Delay: 88.43493461608887 ms
Time: 1715822827.2466729, Delay: 85.63661575317383 ms
Time: 1715822827.560462, Delay: 84.64860916137695 ms
Time: 1715822827.8728142, Delay: 82.20458030700684 ms
Time: 1715822828.19236, Delay: 91.59731864929199 ms
Time: 1715822828.496902, Delay: 77.33464241027832 ms
Time: 1715822828.793291, Delay: 71.78759574890137 ms
Time: 1715822829.100207, Delay: 83.71806144714355 ms
Time: 1715822829.424375, Delay: 100.35228729248047 ms
Time: 1715822829.7403362, Delay: 91.89176559448242 ms
Time: 1715822830.0604448, Delay: 92.52381324768066 ms
Time: 1715822830.367608, Delay: 83.65368843078613 ms
Time: 1715822830.668949, Delay: 75.85287094116211 ms
Time: 1715822830.979407, Delay: 84.59305763244629 ms
Time: 1715822831.28962, Delay: 84.5634937286377 ms
Time: 1715822831.611148, Delay: 98.8621711730957 ms
Time: 1715822831.920554, Delay: 87.95833587646484 ms
Time: 1715822832.243377, Delay: 96.49491310119629 ms
Time: 1715822832.5456069, Delay: 70.20211219787598 ms
Time: 1715822832.844328, Delay: 70.43814659118652 ms
Time: 1715822833.141066, Delay: 66.9107437133789 ms
Time: 1715822833.4511418, Delay: 86.30919456481934 ms
Time: 1715822833.768338, Delay: 89.22863006591797 ms
Time: 1715822834.106737, Delay: 108.81853103637695 ms
Time: 1715822834.429599, Delay: 98.4048843383789 ms
Time: 1715822834.740014, Delay: 84.89036560058594 ms
Time: 1715822835.063034, Delay: 97.66960144042969 ms
Time: 1715822835.384041, Delay: 95.77608108520508 ms
Time: 1715822835.69026, Delay: 79.08153533935547 ms
Time: 1715822835.9984279, Delay: 83.5731029510498 ms
Time: 1715822836.314115, Delay: 91.65287017822266 ms
Time: 1715822836.6273768, Delay: 86.8687629699707 ms
Time: 1715822836.9481752, Delay: 90.70348739624023 ms
Time: 1715822837.2675042, Delay: 95.15905380249023 ms
Time: 1715822837.6064, Delay: 111.69219017028809 ms
Time: 1715822837.932244, Delay: 99.76816177368164 ms
Time: 1715822838.25668, Delay: 93.67585182189941 ms
Time: 1715822838.561792, Delay: 80.12962341308594 ms
Time: 1715822838.863136, Delay: 74.88870620727539 ms
Time: 1715822839.1721148, Delay: 82.90815353393555 ms
Time: 1715822839.4779189, Delay: 76.80749893188477 ms
Time: 1715822839.781101, Delay: 76.13110542297363 ms
Time: 1715822840.089519, Delay: 78.5684585571289 ms
Time: 1715822840.3947752, Delay: 79.07819747924805 ms
Time: 1715822840.702274, Delay: 81.93778991699219 ms
Time: 1715822841.026742, Delay: 96.91190719604492 ms
Time: 1715822841.331945, Delay: 79.68711853027344 ms
Time: 1715822841.644206, Delay: 86.45963668823242 ms
Time: 1715822841.9466, Delay: 81.38918876647949 ms
Time: 1715822842.2621381, Delay: 89.36548233032227 ms
