Time: 1715822224.812953, Delay: 75.22130012512207 ms
Time: 1715822225.1065412, Delay: 74.89585876464844 ms
Time: 1715822225.400335, Delay: 76.41243934631348 ms
Time: 1715822225.692257, Delay: 74.31888580322266 ms
Time: 1715822225.99008, Delay: 77.48079299926758 ms
Time: 1715822226.282076, Delay: 74.36871528625488 ms
Time: 1715822226.573659, Delay: 72.99947738647461 ms
Time: 1715822226.865602, Delay: 74.46885108947754 ms
Time: 1715822227.1615648, Delay: 76.30133628845215 ms
Time: 1715822227.45611, Delay: 77.06141471862793 ms
Time: 1715822227.750539, Delay: 76.43723487854004 ms
Time: 1715822228.040548, Delay: 72.84212112426758 ms
Time: 1715822228.333397, Delay: 75.03962516784668 ms
Time: 1715822228.6255, Delay: 73.55523109436035 ms
Time: 1715822228.9183419, Delay: 74.99551773071289 ms
Time: 1715822229.2094452, Delay: 72.80969619750977 ms
Time: 1715822229.5017228, Delay: 73.87423515319824 ms
Time: 1715822229.794395, Delay: 73.7156867980957 ms
Time: 1715822230.087656, Delay: 75.94585418701172 ms
Time: 1715822230.3824158, Delay: 75.67524909973145 ms
Time: 1715822230.6744142, Delay: 74.6145248413086 ms
Time: 1715822230.962652, Delay: 70.09053230285645 ms
Time: 1715822231.251442, Delay: 74.25689697265625 ms
Time: 1715822231.546415, Delay: 76.46584510803223 ms
Time: 1715822231.838774, Delay: 75.44875144958496 ms
Time: 1715822232.132365, Delay: 74.36871528625488 ms
Time: 1715822232.4225879, Delay: 72.97396659851074 ms
Time: 1715822232.715254, Delay: 74.06091690063477 ms
Time: 1715822233.007503, Delay: 74.36633110046387 ms
Time: 1715822233.300572, Delay: 75.70767402648926 ms
Time: 1715822233.595614, Delay: 76.22671127319336 ms
Time: 1715822233.887985, Delay: 73.5170841217041 ms
Time: 1715822234.1809778, Delay: 75.22439956665039 ms
Time: 1715822234.4774551, Delay: 77.55851745605469 ms
Time: 1715822234.77306, Delay: 77.53252983093262 ms
Time: 1715822235.068516, Delay: 76.99966430664062 ms
Time: 1715822235.364568, Delay: 76.75647735595703 ms
Time: 1715822235.656481, Delay: 74.03397560119629 ms
Time: 1715822235.949211, Delay: 73.80056381225586 ms
Time: 1715822236.24049, Delay: 74.19228553771973 ms
Time: 1715822236.5323331, Delay: 74.6004581451416 ms
Time: 1715822236.8258848, Delay: 75.25324821472168 ms
Time: 1715822237.121679, Delay: 77.19230651855469 ms
Time: 1715822237.4140859, Delay: 73.78125190734863 ms
Time: 1715822237.71146, Delay: 73.09961318969727 ms
Time: 1715822238.004365, Delay: 74.86748695373535 ms
Time: 1715822238.299401, Delay: 76.90191268920898 ms
Time: 1715822238.5917299, Delay: 73.07958602905273 ms
Time: 1715822238.883276, Delay: 72.59249687194824 ms
Time: 1715822239.176506, Delay: 74.4163990020752 ms
Time: 1715822239.4687018, Delay: 74.71513748168945 ms
Time: 1715822239.758254, Delay: 67.81315803527832 ms
Time: 1715822240.051776, Delay: 75.94418525695801 ms
Time: 1715822240.3454459, Delay: 75.78396797180176 ms
Time: 1715822240.636394, Delay: 73.35567474365234 ms
Time: 1715822240.928844, Delay: 75.33621788024902 ms
Time: 1715822241.2210119, Delay: 73.7907886505127 ms
Time: 1715822241.509085, Delay: 73.6391544342041 ms
Time: 1715822241.799995, Delay: 73.35686683654785 ms
Time: 1715822242.092931, Delay: 76.95794105529785 ms
Time: 1715822242.385372, Delay: 73.72903823852539 ms
Time: 1715822242.677871, Delay: 74.81980323791504 ms
Time: 1715822242.968693, Delay: 73.62031936645508 ms
Time: 1715822243.2611651, Delay: 75.23012161254883 ms
Time: 1715822243.549758, Delay: 69.97299194335938 ms
Time: 1715822243.841141, Delay: 72.93081283569336 ms
Time: 1715822244.1375308, Delay: 77.71944999694824 ms
Time: 1715822244.430725, Delay: 74.3415355682373 ms
Time: 1715822244.723857, Delay: 72.79300689697266 ms
Time: 1715822245.019062, Delay: 74.86844062805176 ms
Time: 1715822245.310456, Delay: 73.90213012695312 ms
Time: 1715822245.6033611, Delay: 76.24077796936035 ms
